sp	latin
OSTVIR	Ostrya virginiana
ABIBAL	Abies balsamea
FRAAME	Fraxinus americana
ACESUG	Acer saccharum
CORCOR	Corylus cornuta
ACESPI	Acer spicatum
DIRPAL	Dirca palustris
ALNINC	Alnus incana
FRANIG	Fraxinus nigra
ACERUB	Acer rubrum
AMELAE	Amelanchier laevis
AMESAN	Amelanchier sanguinea
BETALL	Betula alleghaniensis
BETPAP	Betula papyrifera
CORALT	Cornus alternifolia
ILEMUC	Ilex mucronata
ILEVER	Ilex verticillata
JUGCIN	Juglans cinerea
LARLAR	Larix laricina
LONCAN	Lonicera candensis 
MALPUM	Malus pumila
PICGLA	Picea glauca
PICMAR	Picea mariana
PINSTR	Pinus strobus
POPBAL	Populus balsamifera
POPGRA	Populus grandidentata
POPTRE	Populus tremuloides
PRUPEN	Prunus pensylvanica
PRUSER	Prunus serotina
PRUVIR	Prunus virginiana
QUERUB	Quercus rubra
RIBCYN	Ribes cynosbati
SAMRAC	Sambucus racemosa
SORAME	Sorbus spp.
THUOCC	Thuja occidentalis
TILAME	Tilia americana
TSUCAN	Tsuga canadensis
ULMAME	Ulmus americana
