"","X","V1","s","a","b","z","o","w","p","m","n","DenExp","DenExp2","DenExp3","DenExp4","logLik","AIC"
"1",1,1,1,0.9,1.1,0.4,1.2,0.3,1,0,0.6,0.3,0.1,0.3,0.3,-14963.6178174263,29971.2356348527
"2",2,1,10,1,1.1,0.6,1.2,0.3,1,0,0.6,0.3,0.1,0.3,0.3,-14975.2368871061,29994.4737742121
"3",3,1,100,1,1.1,0.4,1.2,0.3,1.1,0,0.6,0.4,0.1,0.3,0.3,-14964.5081210806,29973.0162421613
"4",4,1,1000,1,1.1,0.4,1.3,0.3,1,0,0.7,0.4,0.2,0.4,0.3,-14967.6741197661,29979.3482395323
"5",5,1,1001,0.9,1.1,0.5,1.3,0.3,1,0,0.7,0.3,0.2,0.4,0.3,-14969.192507895,29982.38501579
"6",6,1,1002,1,1.1,0.5,1.3,0.3,1,0,0.7,0.3,0.2,0.4,0.3,-14972.3863603957,29988.7727207914
"7",7,1,1003,0.9,1.1,0.5,1.3,0.3,1,0,0.7,0.4,0.2,0.4,0.3,-14970.0391156125,29984.0782312251
"8",8,1,1004,1,1.1,0.5,1.3,0.3,1,0,0.7,0.4,0.2,0.4,0.3,-14972.4935086707,29988.9870173415
"9",9,1,1005,0.9,1.1,0.6,1.3,0.3,1,0,0.7,0.3,0.2,0.4,0.3,-14972.6456290234,29989.2912580468
"10",10,1,1006,1,1.1,0.6,1.3,0.3,1,0,0.7,0.3,0.2,0.4,0.3,-14975.6383835829,29995.2767671658
"11",11,1,1007,0.9,1.1,0.6,1.3,0.3,1,0,0.7,0.4,0.2,0.4,0.3,-14973.487640726,29990.975281452
"12",12,1,1008,1,1.1,0.6,1.3,0.3,1,0,0.7,0.4,0.2,0.4,0.3,-14976.0919446043,29996.1838892087
"13",13,1,1009,0.9,1.1,0.4,1.2,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14964.2144809252,29972.4289618504
"14",14,1,101,0.9,1.1,0.5,1.2,0.3,1.1,0,0.6,0.3,0.1,0.3,0.3,-14967.1510513073,29978.3021026145
"15",15,1,1010,1,1.1,0.4,1.2,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14967.3048067339,29978.6096134677
"16",16,1,1011,0.9,1.1,0.4,1.2,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14965.1810174633,29974.3620349267
"17",17,1,1012,1,1.1,0.4,1.2,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14967.7596175993,29979.5192351985
"18",18,1,1013,0.9,1.1,0.5,1.2,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14969.3392899367,29982.6785798734
"19",19,1,1014,1,1.1,0.5,1.2,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14972.4387877871,29988.8775755741
"20",20,1,1015,0.9,1.1,0.5,1.2,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14970.3299780571,29984.6599561141
"21",21,1,1016,1,1.1,0.5,1.2,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14973.0469607228,29990.0939214456
"22",22,1,1017,0.9,1.1,0.6,1.2,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14973.3562014754,29990.7124029507
"23",23,1,1018,1,1.1,0.6,1.2,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14976.6322746153,29997.2645492307
"24",24,1,1019,0.9,1.1,0.6,1.2,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14974.3502530912,29992.7005061824
"25",25,1,102,1,1.1,0.5,1.2,0.3,1.1,0,0.6,0.3,0.1,0.3,0.3,-14969.6990281046,29983.3980562092
"26",26,1,1020,1,1.1,0.6,1.2,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14977.237857649,29998.4757152979
"27",27,1,1021,0.9,1.1,0.4,1.3,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14964.1570228286,29972.3140456572
"28",28,1,1022,1,1.1,0.4,1.3,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14967.0362888092,29978.0725776184
"29",29,1,1023,0.9,1.1,0.4,1.3,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14965.0316332481,29974.0632664963
"30",30,1,1024,1,1.1,0.4,1.3,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14967.6752918104,29979.3505836209
"31",31,1,1025,0.9,1.1,0.5,1.3,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14969.2134070016,29982.4268140033
"32",32,1,1026,1,1.1,0.5,1.3,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14972.1984780527,29988.3969561055
"33",33,1,1027,0.9,1.1,0.5,1.3,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14970.0547732595,29984.1095465189
"34",34,1,1028,1,1.1,0.5,1.3,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14972.803402477,29989.606804954
"35",35,1,1029,0.9,1.1,0.6,1.3,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14972.7964843759,29989.5929687519
"36",36,1,103,0.9,1.1,0.5,1.2,0.3,1.1,0,0.6,0.4,0.1,0.3,0.3,-14967.8385705309,29979.6771410617
"37",37,1,1030,1,1.1,0.6,1.3,0.4,1,0,0.7,0.3,0.1,0.4,0.3,-14976.6793145163,29997.3586290326
"38",38,1,1031,0.9,1.1,0.6,1.3,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14973.7883643963,29991.5767287925
"39",39,1,1032,1,1.1,0.6,1.3,0.4,1,0,0.7,0.4,0.1,0.4,0.3,-14976.6867925841,29997.3735851681
"40",40,1,1033,0.9,1.1,0.4,1.2,0.4,1,0,0.7,0.3,0.2,0.4,0.3,-14964.717039901,29973.4340798019
"41",41,1,1034,1,1.1,0.4,1.2,0.4,1,0,0.7,0.3,0.2,0.4,0.3,-14967.6229613471,29979.2459226942
"42",42,1,1035,0.9,1.1,0.4,1.2,0.4,1,0,0.7,0.4,0.2,0.4,0.3,-14965.7634883436,29975.5269766872
"43",43,1,1036,1,1.1,0.4,1.2,0.4,1,0,0.7,0.4,0.2,0.4,0.3,-14968.3183630136,29980.6367260272
"44",44,1,1037,0.9,1.1,0.5,1.2,0.4,1,0,0.7,0.3,0.2,0.4,0.3,-14969.7530791171,29983.5061582343
"45",45,1,1038,1,1.1,0.5,1.2,0.4,1,0,0.7,0.3,0.2,0.4,0.3,-14972.763054625,29989.5261092499
"46",46,1,1039,0.9,1.1,0.5,1.2,0.4,1,0,0.7,0.4,0.2,0.4,0.3,-14970.7140524946,29985.4281049893
"47",47,1,104,1,1.1,0.5,1.2,0.3,1.1,0,0.6,0.4,0.1,0.3,0.3,-14969.6053485823,29983.2106971647
"48",48,1,1040,1,1.1,0.5,1.2,0.4,1,0,0.7,0.4,0.2,0.4,0.3,-14973.4094750258,29990.8189500516
