"","X","s","a","b","z","o","w","p","m","n","DenExp","DenExp2","DenExp3","DenExp4","logLik","AIC"
"1",1,1,0.9,1.1,0.4,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14960.6718798148,29965.3437596296
"2",1,10,0.9,1.2,0.3,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14953.6921173278,29951.3842346556
"3",1,11,0.9,1.1,0.2,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14947.0234450426,29938.0468900853
"4",1,12,0.9,1.2,0.2,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14946.5494905867,29937.0989811734
"5",1,13,0.9,1.1,0.4,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14962.1960058228,29968.3920116456
"6",1,14,0.9,1.2,0.4,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14961.966936477,29967.933872954
"7",1,15,0.9,1.1,0.3,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14955.2085183399,29954.4170366798
"8",1,16,0.9,1.2,0.3,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14954.819886568,29953.6397731361
"9",1,17,0.9,1.1,0.2,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14948.2549677237,29940.5099354474
"10",1,18,0.9,1.2,0.2,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14947.6291848178,29939.2583696356
"11",1,19,0.9,1.1,0.4,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14962.3859886482,29968.7719772964
"12",1,2,0.9,1.2,0.4,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14960.6833163375,29965.366632675
"13",1,20,0.9,1.2,0.4,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14961.9912714316,29967.9825428632
"14",1,21,0.9,1.1,0.3,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14955.567032297,29955.1340645939
"15",1,22,0.9,1.2,0.3,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14955.0401086682,29954.0802173364
"16",1,23,0.9,1.1,0.2,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14948.6403843324,29941.2807686648
"17",1,24,0.9,1.2,0.2,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14947.9192066344,29939.8384132689
"18",1,25,0.9,1.1,0.4,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14961.0954262868,29966.1908525735
"19",1,26,0.9,1.2,0.4,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14961.1186173082,29966.2372346165
"20",1,27,0.9,1.1,0.3,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14953.8332724653,29951.6665449306
"21",1,28,0.9,1.2,0.3,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14953.6923634277,29951.3847268554
"22",1,29,0.9,1.1,0.2,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14946.561956265,29937.1239125299
"23",1,3,0.9,1.1,0.3,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14953.7101165878,29951.4202331756
"24",1,30,0.9,1.2,0.2,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14946.179625766,29936.3592515319
"25",1,31,0.9,1.1,0.4,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14961.2832772116,29966.5665544232
"26",1,32,0.9,1.2,0.4,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14961.1458476665,29966.291695333
"27",1,33,0.9,1.1,0.3,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14954.2281896776,29952.4563793553
"28",1,34,0.9,1.2,0.3,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14953.9540240962,29951.9080481924
"29",1,35,0.9,1.1,0.2,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14947.0125677845,29938.025135569
"30",1,36,0.9,1.2,0.2,1.4,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14946.5400054619,29937.0800109239
"31",1,37,0.9,1.1,0.4,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14962.6317768247,29969.2635536495
"32",1,38,0.9,1.2,0.4,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14962.4132996491,29968.8265992981
"33",1,39,0.9,1.1,0.3,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14955.3503192881,29954.7006385762
"34",1,4,0.9,1.2,0.3,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14953.5686247062,29951.1372494124
"35",1,40,0.9,1.2,0.3,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14954.9617893974,29953.9235787947
"36",1,41,0.9,1.1,0.2,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14948.0994678488,29940.1989356976
"37",1,42,0.9,1.2,0.2,1.3,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14947.4698530727,29938.9397061454
"38",1,43,0.9,1.1,0.4,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14962.8962448163,29969.7924896326
"39",1,44,0.9,1.2,0.4,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14962.5176229709,29969.0352459418
"40",1,45,0.9,1.1,0.3,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14955.8388346145,29955.677669229
"41",1,46,0.9,1.2,0.3,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14955.318214967,29954.6364299339
"42",1,47,0.9,1.1,0.2,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14948.6537016275,29941.307403255
"43",1,48,0.9,1.2,0.2,1.4,0.5,1.1,0.05,0.6,0.3,0.1,0.3,0.5,-14947.9345147357,29939.8690294713
"44",1,5,0.9,1.1,0.2,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14946.7445225967,29937.4890451934
"45",1,6,0.9,1.2,0.2,1.3,0.4,1.1,0.05,0.6,0.3,0.1,0.3,0.4,-14946.3665637229,29936.7331274458
