"","X","s","Cdens_a","Cdens_b","Cdens_d","Hdens_a","Hdens_b","Hdens_d","LCdens_a","LCdens_b","LCdens_d","LHdens_a","LHdens_b","LHdens_d","logLik","AIC"
"1",1,1,0.7,1.2,0.3,0.5,1,0.1,0.1,1,0.3,0,0.6,0.3,-14981.688354069,30007.376708138
"2",1,10,0.9,1.2,0.3,0.5,1,0.3,0.1,1,0.3,0,0.6,0.3,-14971.6875855137,29987.3751710273
"3",1,100,0.9,1.2,0.3,0.9,1,0.1,0.1,1,0.3,0.1,1,0.3,-14986.8648007339,30017.7296014678
"4",1,101,0.7,1.2,0.3,0.5,1.2,0.1,0.1,1,0.3,0.1,1,0.3,-14982.2113557866,30008.4227115731
"5",1,102,0.9,1.2,0.3,0.5,1.2,0.1,0.1,1,0.3,0.1,1,0.3,-14972.0307212773,29988.0614425546
"6",1,103,0.7,1.2,0.3,0.9,1.2,0.1,0.1,1,0.3,0.1,1,0.3,-14990.864245455,30025.72849091
"7",1,104,0.9,1.2,0.3,0.9,1.2,0.1,0.1,1,0.3,0.1,1,0.3,-14983.5916839243,30011.1833678485
"8",1,105,0.7,1.2,0.3,0.5,1,0.3,0.1,1,0.3,0.1,1,0.3,-14985.3102871459,30014.6205742918
"9",1,106,0.9,1.2,0.3,0.5,1,0.3,0.1,1,0.3,0.1,1,0.3,-14974.7471561799,29993.4943123598
"10",1,107,0.7,1.2,0.3,0.9,1,0.3,0.1,1,0.3,0.1,1,0.3,-14993.6030882907,30031.2061765813
"11",1,108,0.9,1.2,0.3,0.9,1,0.3,0.1,1,0.3,0.1,1,0.3,-14986.4366607078,30016.8733214156
"12",1,109,0.7,1.2,0.3,0.5,1.2,0.3,0.1,1,0.3,0.1,1,0.3,-14982.8314227103,30009.6628454207
"13",1,11,0.7,1.2,0.3,0.9,1,0.3,0.1,1,0.3,0,0.6,0.3,-14989.1514419772,30022.3028839543
"14",1,110,0.9,1.2,0.3,0.5,1.2,0.3,0.1,1,0.3,0.1,1,0.3,-14972.507953946,29989.015907892
"15",1,111,0.7,1.2,0.3,0.9,1.2,0.3,0.1,1,0.3,0.1,1,0.3,-14990.52636639,30025.0527327801
"16",1,112,0.9,1.2,0.3,0.9,1.2,0.3,0.1,1,0.3,0.1,1,0.3,-14983.3092624283,30010.6185248566
"17",1,113,0.7,1.2,0.3,0.5,1,0.1,0.5,1,0.3,0.1,1,0.3,-14980.2352453762,30004.4704907524
"18",1,114,0.9,1.2,0.3,0.5,1,0.1,0.5,1,0.3,0.1,1,0.3,-14971.1397967631,29986.2795935263
"19",1,115,0.7,1.2,0.3,0.9,1,0.1,0.5,1,0.3,0.1,1,0.3,-14989.570599115,30023.14119823
