"","X","s","Cdens_a","Cdens_b","Cdens_d","Hdens_a","Hdens_b","Hdens_d","LCdens_a","LCdens_b","LCdens_d","LHdens_a","LHdens_b","LHdens_d","logLik","AIC"
"1",1,1,0.8,1.1,0.2,0.5,1.1,0.1,0.4,0.9,0.2,0,0.6,0.2,-14984.9620948347,30013.9241896694
"2",1,10,0.9,1.1,0.2,0.4,1.1,0.1,0.4,0.9,0.2,0,0.6,0.2,-14979.5931228813,30003.1862457627
"3",1,100,0.9,1.2,0.2,0.5,1.1,0.05,0.5,0.9,0.2,0,0.6,0.2,-14982.7993103799,30009.5986207598
"4",1,1000,0.9,1.2,0.3,0.5,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14968.4191720022,29980.8383440044
"5",1,1001,0.8,1.1,0.2,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14969.3098766726,29982.6197533451
"6",1,1002,0.9,1.1,0.2,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14968.4304570196,29980.8609140393
"7",1,1003,0.8,1.2,0.2,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14968.5054746531,29981.0109493062
"8",1,1004,0.9,1.2,0.2,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14966.5120637919,29977.0241275838
"9",1,1005,0.8,1.1,0.3,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14964.0045307253,29972.0090614505
"10",1,1006,0.9,1.1,0.3,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14963.1236481458,29970.2472962917
"11",1,1007,0.8,1.2,0.3,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14965.1046578274,29974.2093156548
"12",1,1008,0.9,1.2,0.3,0.4,1.1,0.05,0.5,1,0.3,0,0.5,0.2,-14963.1489995261,29970.2979990523
"13",1,1009,0.8,1.1,0.2,0.5,1.2,0.05,0.5,1,0.3,0,0.5,0.2,-14973.3079071713,29990.6158143426
