"Hdens_a","Hdens_b","DenExp2","LogLikelihood","aic"
0.5,1.2,0.1,-19191.1129479644,38396.2258959288
0.5,1.2,0.3,-19193.7220913828,38401.4441827656
0.5,1.2,0.5,-19197.2652664477,38408.5305328954
0.5,1.2,0.7,-19201.6347930244,38417.2695860488
0.5,1,0.1,-19184.9245922705,38383.8491845411
0.5,1,0.3,-19186.1364934432,38386.2729868864
0.5,1,0.5,-19188.0929999338,38390.1859998675
0.5,1,0.7,-19190.7103994529,38395.4207989059
0.5,1.4,0.1,-19203.5982971585,38421.196594317
0.5,1.4,0.3,-19208.6993359089,38431.3986718177
0.5,1.4,0.5,-19214.8924096182,38443.7848192365
0.5,1.4,0.7,-19221.7943461835,38457.588692367
0.7,1.2,0.1,-19222.176445248,38458.3528904961
0.7,1.2,0.3,-19223.2205189736,38460.4410379473
0.7,1.2,0.5,-19224.9112021744,38463.8224043489
0.7,1.2,0.7,-19227.1608353714,38468.3216707427
0.7,1,0.1,-19214.4490230728,38442.8980461457
0.7,1,0.3,-19213.9320678676,38441.8641357352
0.7,1,0.5,-19213.8728996617,38441.7457993235
0.7,1,0.7,-19214.2559564353,38442.5119128706
0.7,1.4,0.1,-19232.3914312044,38478.7828624089
0.7,1.4,0.3,-19235.1450699951,38484.2901399902
0.7,1.4,0.5,-19238.4525735833,38490.9051471666
0.7,1.4,0.7,-19242.0834267846,38498.1668535692
0.9,1.2,0.1,-19238.10266949,38490.2053389801
0.9,1.2,0.3,-19237.7612083245,38489.5224166491
0.9,1.2,0.5,-19237.7692120561,38489.5384241123
0.9,1.2,0.7,-19238.0907451159,38490.1814902319
0.9,1,0.1,-19233.8249129293,38481.6498258587
0.9,1,0.3,-19232.7026428339,38479.4052856679
0.9,1,0.5,-19231.8631855408,38477.7263710816
0.9,1,0.7,-19231.3165793945,38476.633158789
0.9,1.4,0.1,-19243.4893013452,38500.9786026903
0.9,1.4,0.3,-19244.0434318411,38502.0868636821
0.9,1.4,0.5,-19244.9758243681,38503.9516487362
0.9,1.4,0.7,-19246.3980933289,38506.7961866577
1.1,1.2,0.1,-19239.7154541402,38493.4309082804
1.1,1.2,0.3,-19237.9354316964,38489.8708633929
1.1,1.2,0.5,-19236.5057694464,38487.0115388929
1.1,1.2,0.7,-19235.5239563153,38485.0479126306
1.1,1,0.1,-19236.4850535634,38486.9701071268
1.1,1,0.3,-19234.2568596109,38482.5137192218
1.1,1,0.5,-19232.3696766663,38478.7393533326
1.1,1,0.7,-19230.8647368542,38475.7294737084
1.1,1.4,0.1,-19242.9661414876,38499.9322829752
1.1,1.4,0.3,-19241.7926848277,38497.5853696555
1.1,1.4,0.5,-19241.2081937658,38496.4163875316
1.1,1.4,0.7,-19241.5940809695,38497.188161939
