"LCdens_a","LCdens_b","DenExp3","LogLikelihood","aic"
0,0.6,0.1,-19055.4070317114,38124.8140634229
0,0.6,0.3,-18960.7506238415,37935.5012476831
0,0.6,0.5,-18969.8965646417,37953.7931292835
0,0.6,0.7,-19001.4583144672,38016.9166289344
0,0.6,0.9,-19036.1444552991,38086.2889105982
0,0.8,0.1,-19047.3917370404,38108.7834740809
0,0.8,0.3,-18950.8055965881,37915.6111931762
0,0.8,0.5,-18964.5878291724,37943.1756583447
0,0.8,0.7,-19001.3217261472,38016.6434522943
0,0.8,0.9,-19041.1290076172,38096.2580152343
0,1,0.1,-19038.8436982054,38091.6873964108
0,1,0.3,-18946.9915606255,37907.983121251
0,1,0.5,-18971.1696371178,37956.3392742356
0,1,0.7,-19017.3458973374,38048.6917946748
0,1,0.9,-19065.3669325652,38144.7338651304
0,1.4,0.1,-19022.4744208498,38058.9488416996
0,1.4,0.3,-18966.9664497698,37947.9328995396
0,1.4,0.5,-19029.1477006717,38072.2954013435
0,1.4,0.7,-19101.7732663452,38217.5465326903
0,1.4,0.9,-19163.510830909,38341.021661818
0,1.2,0.1,-19030.3053020427,38074.6106040855
0,1.2,0.3,-18952.0739250518,37918.1478501035
0,1.2,0.5,-18993.0593931872,38000.1187863744
0,1.2,0.7,-19052.286972893,38118.5739457859
0,1.2,0.9,-19109.447582136,38232.895164272
0.1,0.6,0.1,-19053.9128037374,38121.8256074748
0.1,0.6,0.3,-18956.8097801182,37927.6195602364
0.1,0.6,0.5,-18964.7886527649,37943.5773055299
0.1,0.6,0.7,-18995.8783199262,38005.7566398524
0.1,0.6,0.9,-19030.2756008002,38074.5512016004
0.1,0.8,0.1,-19045.7942163086,38105.5884326173
0.1,0.8,0.3,-18946.3539250255,37906.7078500509
0.1,0.8,0.5,-18958.7093781261,37931.4187562523
0.1,0.8,0.7,-18994.7131646892,38003.4263293785
0.1,0.8,0.9,-19033.9294430055,38081.8588860109
0.1,1,0.1,-19037.0651569776,38088.1303139552
0.1,1,0.3,-18941.7024971129,37897.4049942257
0.1,1,0.5,-18964.0347555366,37942.0695110732
0.1,1,0.7,-19009.1846298883,38032.3692597766
0.1,1,0.9,-19056.4418556562,38126.8837113124
0.1,1.4,0.1,-19020.1372244762,38054.2744489524
0.1,1.4,0.3,-18959.6521325879,37933.3042651757
0.1,1.4,0.5,-19019.533618705,38053.0672374101
0.1,1.4,0.7,-19091.3882767601,38196.7765535203
0.1,1.4,0.9,-19154.3881101621,38322.7762203242
0.1,1.2,0.1,-19028.2723835026,38070.5447670051
0.1,1.2,0.3,-18945.7381302614,37905.4762605228
0.1,1.2,0.5,-18984.488090042,37982.976180084
0.1,1.2,0.7,-19042.609979743,38099.219959486
0.1,1.2,0.9,-19099.2493557671,38212.4987115341
0.2,0.6,0.1,-19052.2303858802,38118.4607717605
0.2,0.6,0.3,-18954.8927589023,37923.7855178046
0.2,0.6,0.5,-18962.9363894354,37939.8727788708
0.2,0.6,0.7,-18994.1408440516,38002.2816881033
