"LHdens_a","LHdens_b","DenExp4","LogLikelihood","aic"
0,0.6,0.1,-19160.1261865336,38334.2523730673
0,0.6,0.3,-19150.6533135581,38315.3066271162
0,0.6,0.5,-19159.6960477227,38333.3920954455
0,0.6,0.7,-19171.7031129047,38357.4062258094
0,0.6,0.9,-19184.2346012475,38382.469202495
0,0.8,0.1,-19160.6786525781,38335.3573051562
0,0.8,0.3,-19152.1123293083,38318.2246586167
0,0.8,0.5,-19162.0792719221,38338.1585438442
0,0.8,0.7,-19174.8871250958,38363.7742501916
0,0.8,0.9,-19188.1017649023,38390.2035298046
0,1,0.1,-19163.7161759157,38341.4323518314
0,1,0.3,-19157.2480945716,38328.4961891431
0,1,0.5,-19168.9368033313,38351.8736066626
0,1,0.7,-19183.2397530274,38380.4795060548
0,1,0.9,-19197.7208224321,38409.4416448642
0,1.4,0.1,-19178.1397898979,38370.2795797957
0,1.4,0.3,-19181.1361165544,38376.2722331089
0,1.4,0.5,-19200.8667728382,38415.7335456765
0,1.4,0.7,-19222.4534166516,38458.9068333032
0,1.4,0.9,-19242.1748351483,38498.3496702966
0,1.2,0.1,-19169.6838512014,38353.3677024029
0,1.2,0.3,-19167.0289463124,38348.0578926247
0,1.2,0.5,-19181.8882955709,38377.7765911419
0,1.2,0.7,-19199.0828405353,38412.1656810706
0,1.2,0.9,-19216.0628112767,38446.1256225535
0.1,0.6,0.1,-19161.4616933461,38336.9233866921
0.1,0.6,0.3,-19151.3341964463,38316.6683928926
0.1,0.6,0.5,-19160.4305597085,38334.8611194169
0.1,0.6,0.7,-19172.4827046014,38358.9654092028
0.1,0.6,0.9,-19184.9597324379,38383.9194648758
0.1,0.8,0.1,-19162.094295576,38338.188591152
0.1,0.8,0.3,-19152.9273487017,38319.8546974035
0.1,0.8,0.5,-19162.8974957009,38339.7949914018
0.1,0.8,0.7,-19175.6683350443,38365.3366700886
0.1,0.8,0.9,-19188.7318700424,38391.4637400848
0.1,1,0.1,-19165.3332821604,38344.6665643207
0.1,1,0.3,-19158.3065804997,38330.6131609994
