"Cdens_a","Cdens_b","DenExp1","LogLikelihood","aic"
0.5,1.2,0.1,-18992.6614548295,37999.322909659
0.5,1.2,0.3,-18964.0169879823,37942.0339759646
0.5,1.2,0.5,-18971.3626201941,37956.7252403883
0.5,1.2,0.7,-18993.9530255973,38001.9060511946
0.5,1.2,0.9,-19026.7119358035,38067.423871607
0.5,1,0.1,-18995.6913143302,38005.3826286604
0.5,1,0.3,-18961.2993103645,37936.5986207291
0.5,1,0.5,-18959.1414877061,37932.2829754123
0.5,1,0.7,-18968.6678167216,37951.3356334433
0.5,1,0.9,-18985.5555538006,37985.1111076011
0.5,0.8,0.1,-19009.4249476912,38032.8498953824
0.5,0.8,0.3,-18974.7492834891,37963.4985669781
0.5,0.8,0.5,-18969.8542604964,37953.7085209929
0.5,0.8,0.7,-18974.6162092235,37963.2324184469
0.5,0.8,0.9,-18984.6123291423,37983.2246582846
0.5,1.4,0.1,-19002.9057145304,38019.8114290609
0.5,1.4,0.3,-18986.4935621412,37986.9871242825
0.5,1.4,0.5,-19010.1284147466,38034.2568294933
0.5,1.4,0.7,-19051.4811082041,38116.9622164083
0.5,1.4,0.9,-19101.9455020189,38217.8910040377
0.5,1.6,0.1,-19023.2222281909,38060.4444563819
0.5,1.6,0.3,-19023.1017152913,38060.2034305826
0.5,1.6,0.5,-19064.6118681846,38143.2237363693
0.5,1.6,0.7,-19121.8968289985,38257.793657997
0.5,1.6,0.9,-19180.5180702645,38375.0361405289
0.7,1.2,0.1,-18945.0008437597,37904.0016875194
0.7,1.2,0.3,-18916.7955869499,37847.5911738998
0.7,1.2,0.5,-18931.6179976542,37877.2359953084
0.7,1.2,0.7,-18967.1773103591,37948.3546207182
0.7,1.2,0.9,-19014.5622832906,38043.1245665813
0.7,1,0.1,-18953.3434233309,37920.6868466618
0.7,1,0.3,-18917.1198184069,37848.2396368138
0.7,1,0.5,-18918.1581928141,37850.3163856283
0.7,1,0.7,-18935.1375937499,37884.2751874998
0.7,1,0.9,-18962.5116183251,37939.0232366502
0.7,0.8,0.1,-18970.4640736497,37954.9281472993
0.7,0.8,0.3,-18932.6189591557,37879.2379183115
0.7,0.8,0.5,-18928.094196989,37870.1883939781
0.7,0.8,0.7,-18936.0053024268,37886.0106048537
0.7,0.8,0.9,-18951.0037081555,37916.0074163111
